"Price","Age","KM","FuelType","HP","MetColor","Automatic","CC","Doors","Weight","rpart"
15950,27,29510,"Petrol",97,1,0,1400,3,1100,16926.7105263158
8950,68,77008,"Petrol",86,1,0,1300,3,1015,9288.48936170213
8850,65,45000,"Petrol",110,0,0,1600,5,1075,9288.48936170213
11950,44,29716,"Petrol",110,1,1,1600,3,1070,12485.0396825397
7450,77,122290,"Petrol",110,0,0,1600,3,1050,7882.74736842105
5751,67,174833,"Diesel",72,0,0,2000,4,1100,9288.48936170213
9950,61,76700,"Petrol",86,1,0,1300,5,1035,9288.48936170213
12750,36,63459,"Petrol",97,1,0,1400,5,1060,12485.0396825397
13875,39,43254,"Petrol",110,1,0,1600,5,1075,12485.0396825397
11750,44,52084,"Petrol",97,1,0,1400,3,1025,12485.0396825397
7750,71,107516,"Petrol",110,1,0,1600,3,1050,7882.74736842105
20750,17,10000,"Petrol",110,0,0,1598,5,1105,19676.7380952381
13250,33,16512,"Petrol",97,1,0,1400,5,1085,12485.0396825397
7900,75,150000,"Diesel",72,1,0,2000,3,1135,7882.74736842105
10500,49,91340,"Petrol",110,1,0,1600,3,1055,10846.0248447205
8500,80,100458,"Petrol",110,0,0,1600,5,1085,7882.74736842105
15500,25,49163,"Petrol",110,0,1,1600,5,1165,16926.7105263158
11950,56,65000,"Petrol",110,1,0,1600,5,1075,10846.0248447205
11450,49,86221,"Petrol",110,0,0,1600,3,1045,10846.0248447205
17795,1,1,"Petrol",98,1,0,1400,4,1100,19676.7380952381
13950,51,53268,"Petrol",110,1,0,1600,5,1080,10846.0248447205
8600,68,117955,"Petrol",110,1,1,1600,4,1065,9288.48936170213
14950,22,30400,"Petrol",97,1,0,1400,5,1110,16926.7105263158
7750,79,65254,"Petrol",86,1,0,1300,3,1015,7882.74736842105
8950,79,93039,"Petrol",110,1,0,1600,3,1050,7882.74736842105
8750,77,70124,"Petrol",110,1,0,1600,3,1050,7882.74736842105
13500,38,53000,"Petrol",110,1,0,1600,5,1075,12485.0396825397
13250,32,45725,"Petrol",110,1,0,1600,5,1075,16926.7105263158
10500,42,92204,"Petrol",110,1,0,1600,5,1075,12485.0396825397
10950,47,60348,"Petrol",110,0,0,1600,4,1030,10846.0248447205
7900,62,88667,"Petrol",110,1,0,1600,4,1040,9288.48936170213
7500,73,87358,"Petrol",110,1,0,1600,3,1050,7882.74736842105
9500,59,71366,"Petrol",110,0,0,1600,3,1065,9288.48936170213
9450,60,115191,"CNG",110,1,0,1600,4,1079,9288.48936170213
15950,20,36000,"Petrol",110,1,0,1600,5,1075,16926.7105263158
8500,74,66718,"Petrol",110,1,0,1600,3,1050,7882.74736842105
10990,53,70239,"Petrol",110,0,0,1600,3,1040,10846.0248447205
9799,51,59000,"Petrol",97,1,0,1400,3,1025,10846.0248447205
7950,68,74889,"Petrol",86,1,0,1300,3,1015,9288.48936170213
10500,63,57413,"Petrol",107,0,1,1600,5,1115,9288.48936170213
13500,33,48928,"Diesel",69,1,0,1900,3,1105,12485.0396825397
10450,61,80714,"Petrol",110,1,0,1600,5,1075,9288.48936170213
5950,73,176177,"Petrol",110,1,0,1600,5,1075,7882.74736842105
8950,69,75000,"Petrol",86,1,0,1300,4,1000,7882.74736842105
16750,24,25563,"Petrol",110,0,0,1600,3,1065,16926.7105263158
10950,62,35512,"Petrol",110,1,0,1600,3,1065,9288.48936170213
12750,43,46515,"Petrol",97,0,0,1400,5,1025,12485.0396825397
19500,12,13634,"Petrol",110,1,0,1600,5,1115,19676.7380952381
10500,61,66259,"Petrol",110,1,0,1600,3,1065,9288.48936170213
13750,38,28150,"Petrol",110,1,0,1600,5,1075,12485.0396825397
8950,66,39222,"Petrol",86,1,1,1300,3,1045,9288.48936170213
9500,66,74963,"Petrol",107,0,1,1600,3,1085,9288.48936170213
9750,58,105942,"Petrol",86,0,0,1300,5,1040,9288.48936170213
15750,32,25329,"Petrol",97,1,0,1400,3,1100,16926.7105263158
14950,43,25228,"Petrol",110,1,0,1600,3,1045,12485.0396825397
15800,22,75048,"Petrol",97,1,0,1400,5,1110,16926.7105263158
5950,77,145996,"Petrol",110,0,0,1600,4,1035,7882.74736842105
17650,11,6155,"Petrol",97,1,0,1400,5,1110,19676.7380952381
9900,73,59240,"Petrol",110,1,0,1600,3,1050,7882.74736842105
8695,50,70440,"Diesel",69,1,0,1900,3,1105,10846.0248447205
6950,68,70000,"Petrol",86,1,0,1300,3,1015,9288.48936170213
6550,73,158492,"Petrol",86,0,0,1300,3,1015,7882.74736842105
10950,38,37320,"Petrol",97,1,0,1400,3,1025,12485.0396825397
6900,80,65307,"Petrol",110,1,0,1600,3,1055,7882.74736842105
8250,66,81250,"Petrol",110,0,0,1600,3,1050,9288.48936170213
9900,65,97173,"Petrol",86,0,0,1300,3,1015,9288.48936170213
17950,22,62636,"Diesel",90,1,0,2000,5,1255,16926.7105263158
11930,49,31999,"Petrol",97,0,0,1400,3,1030,10846.0248447205
7950,76,124591,"Petrol",110,1,0,1600,5,1075,7882.74736842105
9950,44,39000,"Petrol",97,1,0,1400,3,1025,12485.0396825397
8250,79,84966,"Petrol",110,0,0,1600,5,1070,7882.74736842105
10500,77,172980,"Diesel",72,1,0,2000,5,1135,7882.74736842105
8600,69,57096,"Petrol",86,1,0,1300,3,1025,7882.74736842105
6750,75,87613,"Petrol",86,0,0,1300,3,1015,7882.74736842105
15950,13,29371,"Petrol",110,1,0,1600,4,1105,19676.7380952381
8250,78,72000,"Petrol",110,1,0,1600,4,1035,7882.74736842105
8950,69,99374,"Petrol",86,1,0,1300,5,1035,7882.74736842105
12500,54,84598,"Petrol",110,0,0,1600,5,1075,10846.0248447205
8000,58,70560,"Petrol",110,1,0,1600,3,1050,9288.48936170213
8950,68,74308,"Petrol",110,0,0,1600,3,1050,9288.48936170213
15750,22,35199,"Petrol",97,1,0,1400,3,1100,16926.7105263158
7450,76,154900,"Diesel",72,1,0,2000,5,1140,7882.74736842105
8950,67,127000,"Diesel",72,1,0,2000,5,1135,9288.48936170213
8950,59,76162,"Petrol",110,1,0,1600,5,1075,9288.48936170213
8750,79,98742,"Petrol",110,0,0,1600,5,1085,7882.74736842105
8250,80,76000,"Petrol",110,0,0,1600,3,1050,7882.74736842105
14750,27,27500,"Petrol",97,0,0,1400,3,1100,16926.7105263158
9950,68,64950,"Petrol",110,1,0,1600,5,1075,9288.48936170213
7950,67,155500,"Petrol",110,1,0,1600,5,1050,9288.48936170213
13950,37,36074,"Petrol",110,1,1,1600,5,1075,12485.0396825397
6950,72,99245,"Petrol",110,1,0,1600,5,1114,7882.74736842105
7750,59,154783,"Diesel",72,1,0,2000,3,1120,9288.48936170213
24950,8,13253,"Diesel",116,1,0,2000,5,1320,23451.9230769231
8250,63,44944,"Petrol",110,1,0,1600,4,1035,9288.48936170213
6495,71,59164,"Petrol",110,0,0,1600,4,1035,7882.74736842105
8950,74,88700,"Petrol",110,1,0,1600,3,1050,7882.74736842105
10450,62,85000,"Petrol",110,1,0,1600,3,1050,9288.48936170213
8950,68,95000,"Petrol",110,0,0,1600,3,1050,9288.48936170213
19950,17,30351,"Diesel",90,1,0,1995,3,1260,19676.7380952381
7950,73,103121,"Petrol",86,1,0,1300,5,1035,7882.74736842105
10500,62,93098,"Petrol",110,1,0,1600,5,1075,9288.48936170213
8450,70,124743,"Petrol",110,1,0,1600,3,1050,7882.74736842105
6750,77,105152,"Petrol",86,0,0,1300,3,1015,7882.74736842105
9400,69,67092,"Diesel",72,1,0,2000,3,1115,7882.74736842105
8950,71,72128,"Petrol",107,1,1,1600,5,1100,7882.74736842105
9950,57,102300,"Diesel",72,1,0,2000,5,1135,10846.0248447205
8250,52,135258,"Diesel",69,1,0,1900,5,1140,8012.5
10950,65,49942,"Petrol",110,0,0,1600,3,1065,9288.48936170213
8500,77,45507,"Petrol",110,1,0,1600,3,1050,7882.74736842105
16950,23,28000,"Petrol",110,1,0,1600,5,1115,16926.7105263158
7750,79,71359,"Petrol",110,1,0,1600,3,1050,7882.74736842105
9750,67,67762,"Petrol",110,1,0,1600,3,1065,9288.48936170213
7950,57,72000,"Petrol",86,0,0,1300,3,1015,10846.0248447205
15999,30,38950,"Petrol",110,1,0,1600,5,1130,16926.7105263158
9950,63,57000,"Petrol",86,1,0,1300,5,1035,9288.48936170213
10950,65,81192,"Petrol",110,1,0,1600,3,1065,9288.48936170213
10495,62,58000,"Petrol",110,1,0,1600,3,1065,9288.48936170213
10995,55,36406,"Petrol",110,1,0,1600,4,1035,10846.0248447205
14990,33,24650,"Petrol",110,1,0,1600,3,1055,12485.0396825397
9950,68,68865,"Petrol",110,1,0,1600,3,1065,9288.48936170213
7750,78,72090,"Petrol",110,1,0,1600,5,1070,7882.74736842105
10995,50,41273,"Petrol",97,0,0,1400,5,1060,10846.0248447205
12500,62,26000,"Petrol",107,0,1,1600,3,1085,9288.48936170213
10000,75,64000,"Petrol",107,0,1,1600,3,1085,7882.74736842105
8950,80,58000,"Petrol",110,0,0,1600,3,1055,7882.74736842105
16250,29,25813,"Petrol",110,1,0,1600,3,1120,16926.7105263158
6900,69,146304,"Diesel",72,1,0,2000,3,1115,7882.74736842105
8450,68,90727,"Petrol",110,0,0,1600,3,1050,9288.48936170213
12950,23,71138,"Diesel",69,0,0,1900,3,1105,16926.7105263158
11450,54,62987,"Petrol",110,0,0,1600,5,1080,10846.0248447205
8250,69,44826,"Petrol",110,0,0,1600,5,1075,7882.74736842105
13950,44,39516,"Petrol",97,1,0,1400,5,1060,12485.0396825397
9500,79,100719,"Petrol",110,0,0,1600,5,1070,7882.74736842105
7250,69,49640,"Petrol",110,1,0,1600,4,1035,7882.74736842105
11450,48,49417,"Petrol",110,1,0,1600,3,1045,10846.0248447205
12750,40,50640,"Petrol",110,1,0,1600,5,1075,12485.0396825397
7995,65,60724,"Petrol",86,1,0,1300,3,1015,9288.48936170213
7750,78,100487,"Petrol",110,0,0,1600,4,1035,7882.74736842105
9950,61,97648,"Petrol",110,1,0,1600,3,1065,9288.48936170213
18500,7,2000,"Petrol",110,0,0,1600,5,1075,19676.7380952381
9800,77,48838,"Petrol",110,0,0,1600,3,1055,7882.74736842105
10495,68,47500,"Petrol",86,1,0,1300,5,1035,9288.48936170213
11750,40,32532,"Petrol",110,1,0,1600,3,1040,12485.0396825397
10950,49,107859,"Petrol",97,0,0,1400,5,1060,10846.0248447205
17900,7,1,"Petrol",110,1,0,1600,3,1105,19676.7380952381
8950,62,75569,"Diesel",72,1,0,2000,3,1120,9288.48936170213
19950,22,43610,"Petrol",192,0,0,1800,3,1185,23451.9230769231
9750,62,61149,"Petrol",86,1,0,1300,5,1040,9288.48936170213
6495,74,96302,"Petrol",86,1,0,1300,3,1015,7882.74736842105
10450,48,64193,"Petrol",110,1,0,1600,3,1040,10846.0248447205
10900,57,33535,"Petrol",110,0,0,1600,4,1035,10846.0248447205
10895,53,79800,"Petrol",110,0,0,1600,5,1075,10846.0248447205
9750,61,50173,"Petrol",110,1,0,1600,5,1075,9288.48936170213
8250,65,80086,"Petrol",110,1,0,1600,4,1035,9288.48936170213
21750,13,13178,"Petrol",110,1,0,1600,5,1130,19676.7380952381
9500,54,62519,"Petrol",97,0,0,1400,3,1025,10846.0248447205
9950,54,103454,"Petrol",110,1,0,1600,5,1075,10846.0248447205
7250,80,94447,"Petrol",110,0,0,1600,3,1050,7882.74736842105
10950,54,96100,"Petrol",110,1,0,1600,5,1080,10846.0248447205
8750,76,104344,"Petrol",110,1,0,1600,3,1050,7882.74736842105
11925,44,63451,"Petrol",97,0,0,1400,3,1025,12485.0396825397
17950,20,7187,"Petrol",110,1,0,1600,3,1105,16926.7105263158
12200,41,30989,"Petrol",110,0,0,1600,3,1045,12485.0396825397
10950,53,26624,"Petrol",97,0,0,1400,5,1060,10846.0248447205
12950,40,16325,"Petrol",110,1,0,1600,5,1080,12485.0396825397
5600,75,146197,"Petrol",86,0,0,1300,3,1015,7882.74736842105
6250,67,149000,"Diesel",90,1,0,2000,5,1135,9288.48936170213
9950,63,47612,"Petrol",86,0,0,1300,3,1015,9288.48936170213
9750,62,37000,"Petrol",86,0,0,1300,3,1015,9288.48936170213
15950,19,51884,"Petrol",97,1,0,1400,3,1100,16926.7105263158
22000,28,18739,"Petrol",192,0,0,1800,3,1185,23451.9230769231
11500,35,24011,"Petrol",97,0,0,1400,3,1025,12485.0396825397
11950,58,34000,"Petrol",110,0,0,1600,5,1075,9288.48936170213
8950,57,52548,"Petrol",110,0,0,1600,3,1050,10846.0248447205
7950,73,107108,"Petrol",110,1,0,1600,3,1050,7882.74736842105
9250,53,90097,"Diesel",69,1,0,1900,5,1140,10846.0248447205
9950,63,57124,"Petrol",110,1,0,1600,3,1065,9288.48936170213
8400,60,52487,"Petrol",110,1,0,1600,4,1035,9288.48936170213
11500,44,89757,"Petrol",110,1,0,1600,3,1045,12485.0396825397
7800,65,66000,"Petrol",86,1,0,1300,3,1015,9288.48936170213
7750,63,109230,"Petrol",110,0,0,1600,3,1050,9288.48936170213
8750,58,51712,"Petrol",110,0,0,1600,3,1050,9288.48936170213
6950,79,218118,"Diesel",72,0,0,2000,5,1150,7882.74736842105
11950,42,30190,"Petrol",110,1,0,1600,5,1075,12485.0396825397
10995,59,87654,"Petrol",86,1,1,1300,5,1065,9288.48936170213
9950,46,68414,"Petrol",97,0,0,1400,3,1025,10846.0248447205
10750,48,36005,"Petrol",97,1,0,1400,5,1065,10846.0248447205
9950,37,44757,"Petrol",97,0,0,1400,3,1025,12485.0396825397
10995,63,68153,"Petrol",110,1,0,1600,5,1085,9288.48936170213
9800,68,83000,"Petrol",107,1,1,1600,5,1100,9288.48936170213
10900,50,46000,"Petrol",97,0,0,1400,3,1025,10846.0248447205
9250,58,68723,"Petrol",86,0,0,1300,3,1025,9288.48936170213
10950,65,64630,"Petrol",110,0,0,1600,5,1070,9288.48936170213
6750,77,200732,"Diesel",72,1,0,2000,4,1100,7882.74736842105
11895,39,27170,"Petrol",97,1,0,1400,5,1060,12485.0396825397
13950,35,32941,"Petrol",110,1,0,1600,5,1080,12485.0396825397
11950,41,29056,"Petrol",97,1,0,1400,5,1060,12485.0396825397
10750,55,52149,"Petrol",97,1,0,1400,3,1085,10846.0248447205
19950,19,17038,"Petrol",110,0,0,1600,5,1130,16926.7105263158
6950,65,114383,"Diesel",90,0,0,2000,3,1260,9288.48936170213
9900,68,93296,"Petrol",110,1,0,1600,5,1090,9288.48936170213
7350,65,140168,"Diesel",72,1,0,2000,3,1115,9288.48936170213
9250,48,142130,"CNG",110,0,0,1600,5,1119,8012.5
10450,35,91456,"Diesel",69,1,0,1900,3,1110,12485.0396825397
10500,50,54465,"Petrol",110,0,0,1600,5,1075,10846.0248447205
7750,76,60833,"Petrol",110,1,0,1600,4,1035,7882.74736842105
7950,61,88127,"Petrol",86,0,0,1300,3,1015,9288.48936170213
9750,66,63328,"Petrol",86,0,1,1300,5,1065,9288.48936170213
8895,61,50925,"Petrol",110,1,0,1600,5,1070,9288.48936170213
7900,68,204250,"Diesel",72,0,0,2000,3,1115,9288.48936170213
11950,51,98040,"Petrol",110,0,0,1600,5,1080,10846.0248447205
11950,42,61300,"Petrol",97,1,0,1400,3,1030,12485.0396825397
11650,39,37782,"Petrol",97,1,0,1400,5,1060,12485.0396825397
10950,57,55000,"Petrol",110,0,0,1600,5,1075,10846.0248447205
8950,68,140000,"Petrol",110,1,0,1600,5,1085,9288.48936170213
